Data;Atsak_;IP adresas;Ar pritariate, kad  dr. J. Basanavi_iaus paminklas b_t_ pastatytas aikšt_je priešais Filharmonij_?;Ar pritariate, kad  dr. J. Basanavi_iaus paminklas b_t_ pastatytas K. Sirvydo skvere?
26/09/15 09:39;---;84.240.61.138;Pritariu;Neturiu nuomon_s
26/09/15 09:31;---;78.56.253.152;Pritariu;Nepritariu
26/09/15 09:31;---;78.56.191.72;Pritariu;Nepritariu
26/09/15 09:05;---;158.129.194.180;Nepritariu;Nepritariu
26/09/15 09:04;---;78.60.206.25;Pritariu;
26/09/15 09:02;---;78.60.207.61;Nepritariu;Pritariu
26/09/15 08:55;---;212.117.14.162;Nepritariu;Pritariu
26/09/15 08:54;---;78.60.75.79;Nepritariu;Pritariu
26/09/15 08:53;---;78.56.190.92;Nepritariu;Nepritariu
26/09/15 08:51;---;77.240.250.101;Pritariu;Nepritariu
26/09/15 08:17;---;78.157.91.125;Nepritariu;Pritariu
26/09/15 08:15;---;78.56.73.248;Pritariu;Nepritariu
26/09/15 07:56;---;82.135.200.182;Pritariu;Pritariu
26/09/15 07:34;---;78.60.162.87;Pritariu;Pritariu
26/09/15 07:31;---;78.56.175.255;Pritariu;Nepritariu
26/09/15 07:09;---;5.20.142.29;Nepritariu;Pritariu
26/09/15 02:27;---;78.56.217.39;Pritariu;Nepritariu
26/09/15 01:00;---;84.240.30.46;Nepritariu;Pritariu
26/09/15 00:37;---;213.226.131.133;Nepritariu;Nepritariu
26/09/15 00:28;---;79.132.168.114;Nepritariu;Pritariu
26/09/15 00:26;---;5.20.218.98;Pritariu;Nepritariu
26/09/15 00:18;---;78.60.92.137;Nepritariu;Pritariu
26/09/15 00:14;---;89.117.250.59;Pritariu;Nepritariu
26/09/15 00:04;---;5.20.209.160;Pritariu;Nepritariu
25/09/15 23:46;---;78.56.172.160;Pritariu;Nepritariu
25/09/15 23:38;---;5.20.181.96;Pritariu;Neturiu nuomon_s
25/09/15 23:35;---;78.60.107.131;Pritariu;Pritariu
25/09/15 23:34;---;78.61.222.37;Nepritariu;Pritariu
